"Name","State","Notes","User","Tags","Created","Runtime","Sweep","checkpoint_step","layer","method","shuffle_labels","test_percentage","train_dataset_group","dataset/num_samples","labels/max","labels/mean","labels/min","labels/std","magnitude/combined_mean","magnitude/test_mean","magnitude/train_mean","model/input_dim","model/output_dim","normalize_features","test/mae","test/mse","test/pearson","test/r2","test/rmse","train/final_mae","train/final_mse","train/method"
"closedform_virulence_probe_dataset_epoch=0-step=199-consumed_samples=1600.0-last__layer_30_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:33:03.000Z","4","","200","30","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","924597551104","918211592192","981898821632","4096","1","false","1.8013274669647217","4.743917942047119","0.13250696606674536","-0.15410924778212487","2.178053705041985","1.2667182683944702","2.3272082805633545","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=499-consumed_samples=4000.0-last__layer_26_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:32:57.000Z","4","","500","26","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","21.20928382873535","21.22385025024414","21.07858657836914","4096","1","false","1.5418363809585571","3.864900588989258","0.4350224313645753","0.05973973186739823","1.9659350419048076","0.000004789716513187159","2.904711367268664e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=499-consumed_samples=4000.0-last__layer_3_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:32:45.000Z","4","","500","3","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","0.34617191553115845","0.3462517559528351","0.345455527305603","4096","1","false","1.7018415927886963","5.059633731842041","0.37744404342482063","-0.2309173466826555","2.249362961338619","0.28291693329811096","0.31149134039878845","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=499-consumed_samples=4000.0-last__layer_11_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:32:16.000Z","4","","500","11","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","3.1740002632141113","3.174114227294922","3.172970771789551","4096","1","false","1.5681129693984983","4.1665472984313965","0.3958204814980222","-0.01364555180719096","2.041212212983108","0.00002257284359075129","6.701026955546752e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_4_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:32:11.000Z","3","","100","4","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","0.4541613459587097","0.45418429374694824","0.4539559483528137","4096","1","false","1.6429766416549685","4.690022945404053","0.40690769018951856","-0.14099771418737017","2.1656460803658693","0.4198238253593445","0.46492108702659607","closed_form"
"closedform_virulence_probe_dataset_nemo2_evo2_7b_1m__layer_25_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:30:49.000Z","4","","0","25","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","14.551932334899902","14.55149269104004","14.55588722229004","4096","1","false","1.8003196716308594","5.56622838973999","0.2764727446415208","-0.35416248859285226","2.359285567653901","0.00000782472034188686","9.460811994932428e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=999-consumed_samples=8000.0-last__layer_17_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:30:43.000Z","5","","1000","17","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","4.838895797729492","4.838579177856445","4.841732501983643","4096","1","false","1.6277238130569458","4.689606666564941","0.3313397009685792","-0.14089627756209322","2.165549968614195","0.000006859769655420678","6.081250086831247e-11","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=999-consumed_samples=8000.0-last__layer_8_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:30:37.000Z","4","","1000","8","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","1.6503183841705322","1.6504225730895996","1.649384617805481","4096","1","false","1.683436393737793","4.78438663482666","0.3127199338016698","-0.16395468305348215","2.187324080886657","0.000015620846170349978","3.5287320288013286e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_22_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:30:33.000Z","3","","100","22","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","7.426542282104492","7.4270524978637695","7.421960830688477","4096","1","false","1.465162754058838","3.508002281188965","0.44827410202699747","0.14656662069518256","1.8729661719286244","0.000012285403499845415","2.0342884321511432e-10","closed_form"
"closedform_virulence_probe_dataset_epoch=0-step=99-consumed_samples=800.0-last__layer_25_merged_testpercent0.9_shuffle_labels_False","finished","-","","","2025-10-21T16:30:27.000Z","4","","100","25","closed_form","False","0.9","probe_dataset_evo2_7b_merged","37","7","4.393783782382269","0.15000000596046448","1.8911205825524868","25.315776824951172","25.366605758666992","24.85972785949707","4096","1","false","1.4901244640350342","3.6853585243225098","0.4218357050346823","0.10341902253377956","1.9197287632169575","0.00002145404687325936","5.868477370718495e-10","closed_form"
